               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.014705,           0.0087371,          0.00063017,             0.99357,              0.9866,             0.99063,             0.88894,           0.0072959,           0.0035679,          0.00058466,            0.004258,            0.004258,            0.004258
                  60,             0.01456,           0.0082082,          0.00083006,             0.98395,             0.98675,             0.98995,              0.8885,           0.0073773,           0.0037722,          0.00060348,            0.004159,            0.004159,            0.004159
                  61,            0.014143,           0.0081548,          0.00092328,             0.99283,              0.9847,             0.98893,             0.88768,           0.0075149,           0.0036423,           0.0006586,             0.00406,             0.00406,             0.00406
                  62,            0.013473,           0.0082875,          0.00074395,             0.98926,             0.98644,             0.98903,             0.88217,           0.0076021,           0.0038083,          0.00058208,            0.003961,            0.003961,            0.003961
                  63,            0.014625,           0.0083364,          0.00085238,             0.99173,             0.98593,             0.98932,             0.88722,           0.0077391,           0.0037037,          0.00061948,            0.003862,            0.003862,            0.003862
                  64,            0.013898,           0.0082489,          0.00066125,             0.99118,             0.98675,              0.9896,             0.88174,           0.0074864,           0.0035874,          0.00063818,            0.003763,            0.003763,            0.003763
                  65,            0.014232,           0.0083822,          0.00084144,             0.98598,             0.98675,             0.98879,             0.88648,           0.0074155,           0.0036223,          0.00065221,            0.003664,            0.003664,            0.003664
                  66,            0.013673,           0.0083608,           0.0009653,             0.99118,             0.98675,             0.99109,             0.88666,           0.0072987,            0.003545,          0.00061736,            0.003565,            0.003565,            0.003565
                  67,            0.013637,           0.0081898,          0.00090718,             0.99064,             0.98424,             0.99143,             0.89738,            0.007056,           0.0034445,           0.0006126,            0.003466,            0.003466,            0.003466
                  68,            0.014041,           0.0080492,           0.0013535,             0.98713,             0.98777,             0.99055,             0.88108,           0.0074462,           0.0034866,          0.00069573,            0.003367,            0.003367,            0.003367
                  69,            0.013717,           0.0082289,          0.00062759,             0.98822,             0.98675,             0.98998,             0.88914,            0.007197,           0.0035405,          0.00058879,            0.003268,            0.003268,            0.003268
                  70,             0.01316,            0.007745,          0.00073109,             0.98808,             0.98675,              0.9884,             0.89374,           0.0072942,           0.0035367,          0.00055256,            0.003169,            0.003169,            0.003169
                  71,            0.013226,           0.0076752,           0.0005451,             0.98605,             0.98675,             0.98732,             0.89101,           0.0071765,           0.0036036,          0.00054069,             0.00307,             0.00307,             0.00307
                  72,            0.013341,           0.0078198,           0.0004984,                0.99,             0.98542,             0.99088,             0.89378,           0.0070874,           0.0034467,          0.00055376,            0.002971,            0.002971,            0.002971
                  73,             0.01287,           0.0075651,          0.00084823,             0.99134,             0.98542,             0.99016,             0.89641,           0.0072686,           0.0035423,          0.00064746,            0.002872,            0.002872,            0.002872
                  74,            0.012753,           0.0078545,          0.00079266,             0.98968,             0.98675,             0.98972,             0.89677,           0.0070758,           0.0035233,          0.00064704,            0.002773,            0.002773,            0.002773
                  75,            0.012791,           0.0078501,           0.0013074,             0.98699,             0.98646,             0.99022,             0.89252,           0.0073548,           0.0035666,          0.00058117,            0.002674,            0.002674,            0.002674
                  76,            0.012776,           0.0080909,          0.00063443,             0.98685,             0.98675,             0.98944,              0.8991,           0.0070336,           0.0035305,          0.00057615,            0.002575,            0.002575,            0.002575
                  77,            0.012404,           0.0076262,          0.00090328,             0.98913,             0.98138,             0.98732,             0.89708,           0.0070612,           0.0035802,          0.00057209,            0.002476,            0.002476,            0.002476
                  78,            0.012772,           0.0076296,          0.00069818,                0.99,             0.98367,             0.98955,             0.89959,           0.0068773,           0.0035614,          0.00058007,            0.002377,            0.002377,            0.002377
                  79,            0.012809,           0.0076853,          0.00049535,             0.98646,             0.98365,             0.99012,             0.89933,           0.0069363,           0.0035911,          0.00056757,            0.002278,            0.002278,            0.002278
                  80,            0.013157,            0.007667,          0.00087205,             0.98742,             0.98657,             0.99019,             0.90387,           0.0068627,           0.0035533,          0.00061366,            0.002179,            0.002179,            0.002179
                  81,            0.012732,           0.0077518,          0.00083438,             0.98454,             0.98675,             0.99037,             0.89982,            0.006933,           0.0036555,          0.00059643,             0.00208,             0.00208,             0.00208
                  82,            0.012299,           0.0080067,           0.0004432,             0.98674,             0.98675,             0.98998,             0.90661,           0.0068164,           0.0035365,          0.00058607,            0.001981,            0.001981,            0.001981
                  83,            0.012644,           0.0077447,          0.00084593,             0.98905,             0.98328,             0.99054,             0.90221,           0.0068711,           0.0035082,          0.00059705,            0.001882,            0.001882,            0.001882
                  84,            0.012673,           0.0076332,           0.0006135,             0.99294,             0.98675,              0.9907,             0.90108,           0.0069238,           0.0035357,          0.00058622,            0.001783,            0.001783,            0.001783
                  85,            0.012006,           0.0073828,          0.00037946,             0.99427,             0.98675,                0.99,             0.89974,           0.0068481,           0.0035267,          0.00057243,            0.001684,            0.001684,            0.001684
                  86,            0.011942,           0.0074136,          0.00073004,             0.99495,             0.98444,             0.98776,             0.90131,           0.0068264,           0.0035047,           0.0005687,            0.001585,            0.001585,            0.001585
                  87,            0.011806,           0.0075892,           0.0004949,             0.99402,             0.98457,             0.98915,              0.9029,           0.0068733,           0.0034865,          0.00055632,            0.001486,            0.001486,            0.001486
                  88,            0.012244,           0.0072027,          0.00085238,             0.99414,              0.9862,             0.98992,             0.90182,           0.0069463,           0.0035219,          0.00055814,            0.001387,            0.001387,            0.001387
                  89,            0.012011,           0.0076283,          0.00071513,             0.99205,             0.98424,             0.98859,             0.90381,           0.0067474,           0.0035028,          0.00058783,            0.001288,            0.001288,            0.001288
                  90,             0.01194,           0.0073108,          0.00056225,             0.99078,             0.98675,             0.98731,             0.90321,           0.0067433,           0.0035573,          0.00059008,            0.001189,            0.001189,            0.001189
                  91,            0.011808,           0.0076272,          0.00048771,               0.993,             0.98675,              0.9874,             0.90309,           0.0067171,           0.0035267,           0.0005841,             0.00109,             0.00109,             0.00109
                  92,            0.011627,           0.0075512,          0.00050802,             0.99374,             0.98412,              0.9885,             0.90495,           0.0067457,           0.0035676,          0.00058185,            0.000991,            0.000991,            0.000991
                  93,            0.011483,           0.0074733,          0.00049314,             0.99432,             0.98649,             0.98989,             0.90599,           0.0066911,           0.0035282,          0.00056147,            0.000892,            0.000892,            0.000892
                  94,            0.012155,           0.0075625,          0.00061553,             0.98914,             0.98675,             0.99017,             0.90633,           0.0067768,           0.0035087,          0.00055515,            0.000793,            0.000793,            0.000793
                  95,            0.011499,           0.0071881,          0.00059013,               0.994,             0.98027,             0.98985,             0.90686,           0.0067641,           0.0034981,           0.0005667,            0.000694,            0.000694,            0.000694
                  96,            0.011501,           0.0073541,          0.00083585,             0.99454,             0.98043,             0.98993,             0.90611,           0.0067125,           0.0034738,          0.00058387,            0.000595,            0.000595,            0.000595
                  97,            0.011325,           0.0072149,           0.0004624,             0.99204,             0.98675,             0.99033,             0.90949,           0.0067141,           0.0034822,          0.00059001,            0.000496,            0.000496,            0.000496
                  98,            0.011543,           0.0074209,          0.00045725,             0.99198,             0.98675,             0.99008,             0.90671,           0.0066837,           0.0034742,          0.00059612,            0.000397,            0.000397,            0.000397
                  99,            0.011207,           0.0072549,          0.00037448,             0.99382,             0.98675,             0.99017,             0.90734,           0.0066698,           0.0034532,          0.00059741,            0.000298,            0.000298,            0.000298
